"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","BOM"
"","","C1","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","CAP MLCC 0.1u  ±10% ≥X7R [1206]"
"","","C2","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","CAP MLCC 0.1u  ±10% ≥X7R [1206]"
"","","C3","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","CAP MLCC 0.1u  ±10% ≥X7R [1206]"
"","","C4","4.7u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","CAP MLCC 4.7u ±20% 10V [1206]"
"","","C5","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","CAP MLCC 0.1u  ±10% ≥X7R [1206]"
"","","C6","110p","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","CAP MLCC 110p ±5% NP0 [1206]"
"","","C7","0.047u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","CAP MLCC 0.047u ±10% ≥X5R [1206]"
"","","C8","680p","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","CAP MLCC 680p  ±5% NP0 [1206]"
"","","C9","0.047u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","CAP MLCC 0.047u ±10% ≥X5R [1206]"
"","","C10","390p","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","CAP MLCC 390p  ±5% NP0 [1206]"
"","","C11","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","CAP MLCC 0.1u  ±10% ≥X7R [1206]"
"","","C12","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","CAP MLCC 0.1u  ±10% ≥X7R [1206]"
"","","C13","390p","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","CAP MLCC 390p  ±5% NP0 [1206]"
"","","C14","4.7u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","CAP MLCC 4.7u ±20% 10V [1206]"
"","","C16","4.7u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","CAP MLCC 4.7u ±20% 10V [1206]"
"","","D1","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","DIST DIGIKEY 732-4984-1-ND"
"","","D2","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","DIST DIGIKEY 732-4984-1-ND"
"","","D3","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","DIST DIGIKEY 732-4984-1-ND"
"","","D4","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","DIST DIGIKEY 732-4984-1-ND"
"","","J1","I/Q Out","Connector:AudioJack3","Connector_Audio:Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal","~","DIST DIGIKEY CP-3523SJCT-ND"
"","","J2","ANT","Connector:Conn_Coaxial","Connector_Coaxial:SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount"," ~","DIST DIGIKEY CON-SMA-EDGE-S-ND "
"","","J3","ISP","Connector_Generic:Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~","DIST DIGIKEY 609-2846-ND"
